FULL_NAME,PROFILE_TYPE,OFFICE,OFFICE_LEVEL,STATE,DISTRICT,PARTY,INCUMBENT,STATUS,PRIMARY_DATE,GENERAL_DATE,FEC_CANDIDATE_ID,BALLOTPEDIA_URL,WEBSITE,EMAIL,PHONE,BIOGRAPHY,PHOTO_URL,NOTES
Paul Anderson,politician,Minnesota House of Representatives,State,Minnesota,12A,Republican,Yes,In Office,August 11 2026,November 3 2026,,https://ballotpedia.org/Paul_Anderson_(Minnesota),https://www.house.mn.gov/members/profile/15301,rep.paul.anderson@house.mn.gov,651-296-4317,,https://www.house.mn.gov/hinfo/memberimgls94/12A.gif,
Mary Franson,politician,Minnesota House of Representatives,State,Minnesota,12B,Republican,Yes,In Office,August 11 2026,November 3 2026,,https://ballotpedia.org/Mary_Franson,https://www.house.mn.gov/members/profile/15347,rep.mary.franson@house.mn.gov,651-296-3201,,https://www.house.mn.gov/hinfo/memberimgls94/12B.gif,
Lisa Demuth,politician,Minnesota House of Representatives,State,Minnesota,13A,Republican,Yes,In Office,August 11 2026,November 3 2026,,https://ballotpedia.org/Lisa_Demuth,https://www.house.mn.gov/members/profile/15498,rep.lisa.demuth@house.mn.gov,651-296-4373,Speaker of the House,https://www.house.mn.gov/hinfo/memberimgls94/13A.gif,
Tim O'Driscoll,politician,Minnesota House of Representatives,State,Minnesota,13B,Republican,Yes,In Office,August 11 2026,November 3 2026,,https://ballotpedia.org/Tim_O%27Driscoll,https://www.house.mn.gov/members/profile/15364,rep.tim.odriscoll@house.mn.gov,651-296-7808,,https://www.house.mn.gov/hinfo/memberimgls94/13B.gif,
Bernie Perryman,politician,Minnesota House of Representatives,State,Minnesota,14A,Republican,Yes,In Office,August 11 2026,November 3 2026,,https://ballotpedia.org/Bernie_Perryman,https://www.house.mn.gov/members/profile/15599,rep.bernie.perryman@house.mn.gov,651-296-6316,,https://www.house.mn.gov/hinfo/memberimgls94/14A.gif,
Dan Wolgamott,politician,Minnesota House of Representatives,State,Minnesota,14B,Democratic-Farmer-Labor,Yes,In Office,August 11 2026,November 3 2026,,https://ballotpedia.org/Dan_Wolgamott,https://www.house.mn.gov/members/profile/15499,rep.dan.wolgamott@house.mn.gov,651-296-6612,,https://www.house.mn.gov/hinfo/memberimgls94/14B.gif,
Chris Swedzinski,politician,Minnesota House of Representatives,State,Minnesota,15A,Republican,Yes,In Office,August 11 2026,November 3 2026,,https://ballotpedia.org/Chris_Swedzinski,https://www.house.mn.gov/members/profile/15369,rep.chris.swedzinski@house.mn.gov,651-296-5374,,https://www.house.mn.gov/hinfo/memberimgls94/15A.gif,
Paul Torkelson,politician,Minnesota House of Representatives,State,Minnesota,15B,Republican,Yes,In Office,August 11 2026,November 3 2026,,https://ballotpedia.org/Paul_Torkelson,https://www.house.mn.gov/members/profile/15304,rep.paul.torkelson@house.mn.gov,651-296-9303,Assistant GOP Floor Leader,https://www.house.mn.gov/hinfo/memberimgls94/15B.gif,
Scott Van Binsbergen,politician,Minnesota House of Representatives,State,Minnesota,16A,Republican,Yes,In Office,August 11 2026,November 3 2026,,https://ballotpedia.org/Scott_Van_Binsbergen,https://www.house.mn.gov/members/profile/15647,rep.scott.vanbinsbergen@house.mn.gov,651-296-4344,,https://www.house.mn.gov/hinfo/memberimgls94/16A.gif,
Dave Baker,politician,Minnesota House of Representatives,State,Minnesota,16B,Republican,Yes,In Office,August 11 2026,November 3 2026,,https://ballotpedia.org/Dave_Baker_(Minnesota),https://www.house.mn.gov/members/profile/15429,rep.dave.baker@house.mn.gov,651-296-6206,,https://www.house.mn.gov/hinfo/memberimgls94/16B.gif,
Dawn Gillman,politician,Minnesota House of Representatives,State,Minnesota,17A,Republican,Yes,In Office,August 11 2026,November 3 2026,,https://ballotpedia.org/Dawn_Gillman,https://www.house.mn.gov/members/profile/15600,rep.dawn.gillman@house.mn.gov,651-296-4228,,https://www.house.mn.gov/hinfo/memberimgls94/17A.gif,
Bobbie Harder,politician,Minnesota House of Representatives,State,Minnesota,17B,Republican,Yes,In Office,August 11 2026,November 3 2026,,https://ballotpedia.org/Bobbie_Harder,https://www.house.mn.gov/members/profile/15601,rep.bobbie.harder@house.mn.gov,651-296-4229,,https://www.house.mn.gov/hinfo/memberimgls94/17B.gif,
Erica Schwartz,politician,Minnesota House of Representatives,State,Minnesota,18A,Republican,Yes,In Office,August 11 2026,November 3 2026,,https://ballotpedia.org/Erica_Schwartz,https://www.house.mn.gov/members/profile/15644,rep.erica.schwartz@house.mn.gov,651-296-8634,,https://www.house.mn.gov/hinfo/memberimgls94/18A.gif,
Luke Frederick,politician,Minnesota House of Representatives,State,Minnesota,18B,Democratic-Farmer-Labor,Yes,In Office,August 11 2026,November 3 2026,,https://ballotpedia.org/Luke_Frederick,https://www.house.mn.gov/members/profile/15542,rep.luke.frederick@house.mn.gov,651-296-3248,,https://www.house.mn.gov/hinfo/memberimgls94/18B.gif,
Keith Allen,politician,Minnesota House of Representatives,State,Minnesota,19A,Republican,Yes,In Office,August 11 2026,November 3 2026,,https://ballotpedia.org/Keith_Allen_(Minnesota),https://www.house.mn.gov/members/profile/15627,rep.keith.allen@house.mn.gov,651-296-8237,,https://www.house.mn.gov/hinfo/memberimgls94/19A.gif,
Tom Sexton,politician,Minnesota House of Representatives,State,Minnesota,19B,Republican,Yes,In Office,August 11 2026,November 3 2026,,https://ballotpedia.org/Tom_Sexton_(Minnesota),https://www.house.mn.gov/members/profile/15645,rep.tom.sexton@house.mn.gov,651-296-5368,,https://www.house.mn.gov/hinfo/memberimgls94/19B.gif,
Pam Altendorf,politician,Minnesota House of Representatives,State,Minnesota,20A,Republican,Yes,In Office,August 11 2026,November 3 2026,,https://ballotpedia.org/Pam_Altendorf,https://www.house.mn.gov/members/profile/15602,rep.pam.altendorf@house.mn.gov,651-296-8635,,https://www.house.mn.gov/hinfo/memberimgls94/20A.gif,
Steven Jacob,politician,Minnesota House of Representatives,State,Minnesota,20B,Republican,Yes,In Office,August 11 2026,November 3 2026,,https://ballotpedia.org/Steven_Jacob,https://www.house.mn.gov/members/profile/15603,rep.steven.jacob@house.mn.gov,651-296-2273,,https://www.house.mn.gov/hinfo/memberimgls94/20B.gif,
Joe Schomacker,politician,Minnesota House of Representatives,State,Minnesota,21A,Republican,Yes,In Office,August 11 2026,November 3 2026,,https://ballotpedia.org/Joe_Schomacker,https://www.house.mn.gov/members/profile/15367,rep.joe.schomacker@house.mn.gov,651-296-5505,,https://www.house.mn.gov/hinfo/memberimgls94/21A.gif,
Marj Fogelman,politician,Minnesota House of Representatives,State,Minnesota,21B,Republican,Yes,In Office,August 11 2026,November 3 2026,,https://ballotpedia.org/Marj_Fogelman,https://www.house.mn.gov/members/profile/15604,rep.marj.fogelman@house.mn.gov,651-296-5373,,https://www.house.mn.gov/hinfo/memberimgls94/21B.gif,
Bjorn Olson,politician,Minnesota House of Representatives,State,Minnesota,22A,Republican,Yes,In Office,August 11 2026,November 3 2026,,https://ballotpedia.org/Bjorn_Olson,https://www.house.mn.gov/members/profile/15544,rep.bjorn.olson@house.mn.gov,651-296-3240,Speaker Pro Tempore,https://www.house.mn.gov/hinfo/memberimgls94/22A.gif,
Terry Stier,politician,Minnesota House of Representatives,State,Minnesota,22B,Republican,Yes,In Office,August 11 2026,November 3 2026,,https://ballotpedia.org/Terry_Stier,https://www.house.mn.gov/members/profile/15646,rep.terry.stier@house.mn.gov,651-296-7065,,https://www.house.mn.gov/hinfo/memberimgls94/22B.gif,
Peggy Bennett,politician,Minnesota House of Representatives,State,Minnesota,23A,Republican,Yes,In Office,August 11 2026,November 3 2026,,https://ballotpedia.org/Peggy_Bennett,https://www.house.mn.gov/members/profile/15430,rep.peggy.bennett@house.mn.gov,651-296-8216,,https://www.house.mn.gov/hinfo/memberimgls94/23A.gif,
Patricia Mueller,politician,Minnesota House of Representatives,State,Minnesota,23B,Republican,Yes,In Office,August 11 2026,November 3 2026,,https://ballotpedia.org/Patricia_Mueller,https://www.house.mn.gov/members/profile/15561,rep.patricia.mueller@house.mn.gov,651-296-4193,,https://www.house.mn.gov/hinfo/memberimgls94/23B.gif,
Duane Quam,politician,Minnesota House of Representatives,State,Minnesota,24A,Republican,Yes,In Office,August 11 2026,November 3 2026,,https://ballotpedia.org/Duane_Quam,https://www.house.mn.gov/members/profile/15366,rep.duane.quam@house.mn.gov,651-296-9236,,https://www.house.mn.gov/hinfo/memberimgls94/24A.gif,
Tina Liebling,politician,Minnesota House of Representatives,State,Minnesota,24B,Democratic-Farmer-Labor,Yes,In Office,August 11 2026,November 3 2026,,https://ballotpedia.org/Tina_Liebling,https://www.house.mn.gov/members/profile/12268,rep.tina.liebling@house.mn.gov,651-296-0573,,https://www.house.mn.gov/hinfo/memberimgls94/24B.gif,
Kim Hicks,politician,Minnesota House of Representatives,State,Minnesota,25A,Democratic-Farmer-Labor,Yes,In Office,August 11 2026,November 3 2026,,https://ballotpedia.org/Kim_Hicks,https://www.house.mn.gov/members/profile/15605,rep.kim.hicks@house.mn.gov,651-296-4378,,https://www.house.mn.gov/hinfo/memberimgls94/25A.gif,
Andy Smith,politician,Minnesota House of Representatives,State,Minnesota,25B,Democratic-Farmer-Labor,Yes,In Office,August 11 2026,November 3 2026,,https://ballotpedia.org/Andy_Smith_(Minnesota),https://www.house.mn.gov/members/profile/15606,rep.andy.smith@house.mn.gov,651-296-9249,,https://www.house.mn.gov/hinfo/memberimgls94/25B.gif,
Aaron Repinski,politician,Minnesota House of Representatives,State,Minnesota,26A,Republican,Yes,In Office,August 11 2026,November 3 2026,,https://ballotpedia.org/Aaron_Repinski,https://www.house.mn.gov/members/profile/15641,rep.aaron.repinski@house.mn.gov,651-296-8637,,https://www.house.mn.gov/hinfo/memberimgls94/26A.gif,
Greg Davids,politician,Minnesota House of Representatives,State,Minnesota,26B,Republican,Yes,In Office,August 11 2026,November 3 2026,,https://ballotpedia.org/Greg_Davids,https://www.house.mn.gov/members/profile/10123,rep.greg.davids@house.mn.gov,651-296-9278,,https://www.house.mn.gov/hinfo/memberimgls94/26B.gif,
Shane Mekeland,politician,Minnesota House of Representatives,State,Minnesota,27A,Republican,Yes,In Office,August 11 2026,November 3 2026,,https://ballotpedia.org/Shane_Mekeland,https://www.house.mn.gov/members/profile/15500,rep.shane.mekeland@house.mn.gov,651-296-2451,,https://www.house.mn.gov/hinfo/memberimgls94/27A.gif,
Bryan Lawrence,politician,Minnesota House of Representatives,State,Minnesota,27B,Republican,Yes,In Office,August 11 2026,November 3 2026,,https://ballotpedia.org/Bryan_Lawrence_(Minnesota),https://www.house.mn.gov/members/profile/15626,rep.bryan.lawrence@house.mn.gov,651-296-5364,,https://www.house.mn.gov/hinfo/memberimgls94/27B.gif,
Jimmy Gordon,politician,Minnesota House of Representatives,State,Minnesota,28A,Republican,Yes,In Office,August 11 2026,November 3 2026,,https://ballotpedia.org/Jimmy_Gordon,https://www.house.mn.gov/members/profile/15632,rep.jimmy.gordon@house.mn.gov,651-296-4346,,https://www.house.mn.gov/hinfo/memberimgls94/28A.gif,
Max Rymer,politician,Minnesota House of Representatives,State,Minnesota,28B,Republican,Yes,In Office,August 11 2026,November 3 2026,,https://ballotpedia.org/Max_Rymer,https://www.house.mn.gov/members/profile/15643,rep.max.rymer@house.mn.gov,651-296-5377,,https://www.house.mn.gov/hinfo/memberimgls94/28B.gif,
Joe McDonald,politician,Minnesota House of Representatives,State,Minnesota,29A,Republican,Yes,In Office,August 11 2026,November 3 2026,,https://ballotpedia.org/Joe_McDonald_(Minnesota),https://www.house.mn.gov/members/profile/15360,rep.joe.mcdonald@house.mn.gov,651-296-4336,,https://www.house.mn.gov/hinfo/memberimgls94/29A.gif,
Marion Rarick,politician,Minnesota House of Representatives,State,Minnesota,29B,Republican,Yes,In Office,August 11 2026,November 3 2026,,https://ballotpedia.org/Marion_Rarick,https://www.house.mn.gov/members/profile/15409,rep.marion.rarick@house.mn.gov,651-296-5063,,https://www.house.mn.gov/hinfo/memberimgls94/29B.gif,
Walter Hudson,politician,Minnesota House of Representatives,State,Minnesota,30A,Republican,Yes,In Office,August 11 2026,November 3 2026,,https://ballotpedia.org/Walter_Hudson,https://www.house.mn.gov/members/profile/15607,rep.walter.hudson@house.mn.gov,651-296-1534,Assistant GOP Floor Leader,https://www.house.mn.gov/hinfo/memberimgls94/30A.gif,
Paul Novotny,politician,Minnesota House of Representatives,State,Minnesota,30B,Republican,Yes,In Office,August 11 2026,November 3 2026,,https://ballotpedia.org/Paul_Novotny,https://www.house.mn.gov/members/profile/15536,rep.paul.novotny@house.mn.gov,651-296-4237,,https://www.house.mn.gov/hinfo/memberimgls94/30B.gif,
Harry Niska,politician,Minnesota House of Representatives,State,Minnesota,31A,Republican,Yes,In Office,August 11 2026,November 3 2026,,https://ballotpedia.org/Harry_Niska,https://www.house.mn.gov/members/profile/15608,rep.harry.niska@house.mn.gov,651-296-2439,GOP Floor Leader,https://www.house.mn.gov/hinfo/memberimgls94/31A.gif,
Peggy Scott,politician,Minnesota House of Representatives,State,Minnesota,31B,Republican,Yes,In Office,August 11 2026,November 3 2026,,https://ballotpedia.org/Peggy_Scott,https://www.house.mn.gov/members/profile/15314,rep.peggy.scott@house.mn.gov,651-296-4231,,https://www.house.mn.gov/hinfo/memberimgls94/31B.gif,
Nolan West,politician,Minnesota House of Representatives,State,Minnesota,32A,Republican,Yes,In Office,August 11 2026,November 3 2026,,https://ballotpedia.org/Nolan_West,https://www.house.mn.gov/members/profile/15476,rep.nolan.west@house.mn.gov,651-296-4226,,https://www.house.mn.gov/hinfo/memberimgls94/32A.gif,
Matt Norris,politician,Minnesota House of Representatives,State,Minnesota,32B,Democratic-Farmer-Labor,Yes,In Office,August 11 2026,November 3 2026,,https://ballotpedia.org/Matt_Norris,https://www.house.mn.gov/members/profile/15609,rep.matt.norris@house.mn.gov,651-296-2907,,https://www.house.mn.gov/hinfo/memberimgls94/32B.gif,
Patti Anderson,politician,Minnesota House of Representatives,State,Minnesota,33A,Republican,Yes,In Office,August 11 2026,November 3 2026,,https://ballotpedia.org/Patti_Anderson,https://www.house.mn.gov/members/profile/15610,rep.patti.anderson@house.mn.gov,651-296-3018,,https://www.house.mn.gov/hinfo/memberimgls94/33A.gif,
Josiah Hill,politician,Minnesota House of Representatives,State,Minnesota,33B,Democratic-Farmer-Labor,Yes,In Office,August 11 2026,November 3 2026,,https://ballotpedia.org/Josiah_Hill,https://www.house.mn.gov/members/profile/15611,rep.josiah.hill@house.mn.gov,651-296-4124,,https://www.house.mn.gov/hinfo/memberimgls94/33B.gif,
Danny Nadeau,politician,Minnesota House of Representatives,State,Minnesota,34A,Republican,Yes,In Office,August 11 2026,November 3 2026,,https://ballotpedia.org/Danny_Nadeau,https://www.house.mn.gov/members/profile/15612,rep.danny.nadeau@house.mn.gov,651-296-4315,,https://www.house.mn.gov/hinfo/memberimgls94/34A.gif,
Xp Lee,politician,Minnesota House of Representatives,State,Minnesota,34B,Democratic-Farmer-Labor,Yes,In Office,August 11 2026,November 3 2026,,https://ballotpedia.org/Xp_Lee,https://www.house.mn.gov/members/profile/15652,rep.xp.lee@house.mn.gov,651-296-4280,,https://www.house.mn.gov/hinfo/memberimgls94/34B.gif,
Zack Stephenson,politician,Minnesota House of Representatives,State,Minnesota,35A,Democratic-Farmer-Labor,Yes,In Office,August 11 2026,November 3 2026,,https://ballotpedia.org/Zack_Stephenson,https://www.house.mn.gov/members/profile/15507,rep.zack.stephenson@house.mn.gov,651-296-5513,DFL Caucus Leader,https://www.house.mn.gov/hinfo/memberimgls94/35A.gif,
Kari Rehrauer,politician,Minnesota House of Representatives,State,Minnesota,35B,Democratic-Farmer-Labor,Yes,In Office,August 11 2026,November 3 2026,,https://ballotpedia.org/Kari_Rehrauer,https://www.house.mn.gov/members/profile/15640,rep.kari.rehrauer@house.mn.gov,651-296-1729,,https://www.house.mn.gov/hinfo/memberimgls94/35B.gif,
Elliott Engen,politician,Minnesota House of Representatives,State,Minnesota,36A,Republican,Yes,In Office,August 11 2026,November 3 2026,,https://ballotpedia.org/Elliott_Engen,https://www.house.mn.gov/members/profile/15613,rep.elliott.engen@house.mn.gov,651-296-2365,,https://www.house.mn.gov/hinfo/memberimgls94/36A.gif,
Brion Curran,politician,Minnesota House of Representatives,State,Minnesota,36B,Democratic-Farmer-Labor,Yes,In Office,August 11 2026,November 3 2026,,https://ballotpedia.org/Brion_Curran,https://www.house.mn.gov/members/profile/15614,rep.brion.curran@house.mn.gov,651-296-4342,Assistant DFL Floor Leader,https://www.house.mn.gov/hinfo/memberimgls94/36B.gif,
Kristin Robbins,politician,Minnesota House of Representatives,State,Minnesota,37A,Republican,Yes,In Office,August 11 2026,November 3 2026,,https://ballotpedia.org/Kristin_Robbins,https://www.house.mn.gov/members/profile/15504,rep.kristin.robbins@house.mn.gov,651-296-7806,Assistant GOP Floor Leader,https://www.house.mn.gov/hinfo/memberimgls94/37A.gif,
Kristin Bahner,politician,Minnesota House of Representatives,State,Minnesota,37B,Democratic-Farmer-Labor,Yes,In Office,August 11 2026,November 3 2026,,https://ballotpedia.org/Kristin_Bahner,https://www.house.mn.gov/members/profile/15505,rep.kristin.bahner@house.mn.gov,651-296-5502,,https://www.house.mn.gov/hinfo/memberimgls94/37B.gif,
Huldah Momanyi-Hiltsley,politician,Minnesota House of Representatives,State,Minnesota,38A,Democratic-Farmer-Labor,Yes,In Office,August 11 2026,November 3 2026,,https://ballotpedia.org/Huldah_Momanyi-Hiltsley,https://www.house.mn.gov/members/profile/15634,rep.huldah.momanyi-hiltsley@house.mn.gov,651-296-3751,,https://www.house.mn.gov/hinfo/memberimgls94/38A.gif,
Samantha Vang,politician,Minnesota House of Representatives,State,Minnesota,38B,Democratic-Farmer-Labor,Yes,In Office,August 11 2026,November 3 2026,,https://ballotpedia.org/Samantha_Vang,https://www.house.mn.gov/members/profile/15510,rep.samantha.vang@house.mn.gov,651-296-3709,,https://www.house.mn.gov/hinfo/memberimgls94/38B.gif,
Erin Koegel,politician,Minnesota House of Representatives,State,Minnesota,39A,Democratic-Farmer-Labor,Yes,In Office,August 11 2026,November 3 2026,,https://ballotpedia.org/Erin_Koegel,https://www.house.mn.gov/members/profile/15465,rep.erin.koegel@house.mn.gov,651-296-5369,,https://www.house.mn.gov/hinfo/memberimgls94/39A.gif,
Sandra Feist,politician,Minnesota House of Representatives,State,Minnesota,39B,Democratic-Farmer-Labor,Yes,In Office,August 11 2026,November 3 2026,,https://ballotpedia.org/Sandra_Feist,https://www.house.mn.gov/members/profile/15547,rep.sandra.feist@house.mn.gov,651-296-4331,,https://www.house.mn.gov/hinfo/memberimgls94/39B.gif,
Kelly Moller,politician,Minnesota House of Representatives,State,Minnesota,40A,Democratic-Farmer-Labor,Yes,In Office,August 11 2026,November 3 2026,,https://ballotpedia.org/Kelly_Moller,https://www.house.mn.gov/members/profile/15511,rep.kelly.moller@house.mn.gov,651-296-0141,,https://www.house.mn.gov/hinfo/memberimgls94/40A.gif,
David Gottfried,politician,Minnesota House of Representatives,State,Minnesota,40B,Democratic-Farmer-Labor,Yes,In Office,August 11 2026,November 3 2026,,https://ballotpedia.org/David_Gottfried,https://www.house.mn.gov/members/profile/15650,rep.david.gottfried@house.mn.gov,651-296-7153,,https://www.house.mn.gov/hinfo/memberimgls94/40B.gif,
Wayne Johnson,politician,Minnesota House of Representatives,State,Minnesota,41A,Republican,Yes,In Office,August 11 2026,November 3 2026,,https://ballotpedia.org/Wayne_Johnson_(Minnesota),https://www.house.mn.gov/members/profile/15637,rep.wayne.johnson@house.mn.gov,651-296-4244,,https://www.house.mn.gov/hinfo/memberimgls94/41A.gif,
Tom Dippel,politician,Minnesota House of Representatives,State,Minnesota,41B,Republican,Yes,In Office,August 11 2026,November 3 2026,,https://ballotpedia.org/Tom_Dippel,https://www.house.mn.gov/members/profile/15628,rep.tom.dippel@house.mn.gov,651-296-3135,,https://www.house.mn.gov/hinfo/memberimgls94/41B.gif,
