FULL_NAME,PROFILE_TYPE,OFFICE,OFFICE_LEVEL,STATE,DISTRICT,PARTY,INCUMBENT,STATUS,PRIMARY_DATE,GENERAL_DATE,FEC_CANDIDATE_ID,BALLOTPEDIA_URL,WEBSITE,EMAIL,PHONE,BIOGRAPHY,PHOTO_URL,NOTES
Sara Rodriguez,candidate,Lieutenant Governor,State,Wisconsin,,Democratic,Yes,Candidacy Declared,"August 11, 2026","November 3, 2026",,https://ballotpedia.org/Sara_Rodriguez_(Wisconsin),,,,,,Incumbent; also running for Governor
Sarah Godlewski,candidate,Lieutenant Governor,State,Wisconsin,,Democratic,No,Candidacy Declared,"August 11, 2026","November 3, 2026",,https://ballotpedia.org/Sarah_Godlewski,,,,,,Current WI Secretary of State; running for Lt. Gov.
Will Martin,candidate,Lieutenant Governor,State,Wisconsin,,Republican,No,Candidacy Declared,"August 11, 2026","November 3, 2026",,https://ballotpedia.org/Will_Martin_(Wisconsin),,,,,,Former Dir. of Strategic Workforce Initiatives; 2022 Lt. Gov. candidate
Cyril Sablich,candidate,Lieutenant Governor,State,Wisconsin,,Republican,No,Candidacy Declared,"August 11, 2026","November 3, 2026",,https://ballotpedia.org/Cyril_Sablich,,,,,,
Steve Johnson,candidate,Lieutenant Governor,State,Wisconsin,,Republican,No,Candidacy Declared,"August 11, 2026","November 3, 2026",,https://ballotpedia.org/Steve_Johnson_(Wisconsin_LG),,,,,,General election candidate
Josh Kaul,candidate,Attorney General,State,Wisconsin,,Democratic,Yes,Candidacy Declared,"August 11, 2026","November 3, 2026",,https://ballotpedia.org/Josh_Kaul,,,,,,Incumbent; seeking re-election
Eric Toney,candidate,Attorney General,State,Wisconsin,,Republican,No,Candidacy Declared,"August 11, 2026","November 3, 2026",,https://ballotpedia.org/Eric_Toney,,,,,,
Sarah Godlewski,candidate,Secretary of State,State,Wisconsin,,Democratic,Yes,Candidacy Declared,"August 11, 2026","November 3, 2026",,https://ballotpedia.org/Sarah_Godlewski,,,,,,Incumbent SOS; also running for Lt. Governor
Collin McNamara,candidate,Secretary of State,State,Wisconsin,,Democratic,No,Candidacy Declared,"August 11, 2026","November 3, 2026",,https://ballotpedia.org/Collin_McNamara,,,,,,
Lorenzo Southall,candidate,Secretary of State,State,Wisconsin,,Democratic,No,Candidacy Declared,"August 11, 2026","November 3, 2026",,https://ballotpedia.org/Lorenzo_Southall,,,,,,
JoCasta Zamarripa,candidate,Secretary of State,State,Wisconsin,,Democratic,No,Candidacy Declared,"August 11, 2026","November 3, 2026",,https://ballotpedia.org/JoCasta_Zamarripa,,,,,,
Brayden Myer,candidate,Secretary of State,State,Wisconsin,,Republican,No,Candidacy Declared,"August 11, 2026","November 3, 2026",,https://ballotpedia.org/Brayden_Myer,,,,,,
Nathan Pollnow,candidate,Secretary of State,State,Wisconsin,,Republican,No,Candidacy Declared,"August 11, 2026","November 3, 2026",,https://ballotpedia.org/Nathan_Pollnow,,,,,,
Cindy Werner,candidate,Secretary of State,State,Wisconsin,,Republican,No,Candidacy Declared,"August 11, 2026","November 3, 2026",,https://ballotpedia.org/Cindy_Werner,,,,,,
Pete Karas,candidate,Secretary of State,State,Wisconsin,,Republican,No,Candidacy Declared,"August 11, 2026","November 3, 2026",,https://ballotpedia.org/Pete_Karas,,,,,,General election candidate
John Leiber,candidate,State Treasurer,State,Wisconsin,,Republican,Yes,Candidacy Declared,"August 11, 2026","November 3, 2026",,https://ballotpedia.org/John_Leiber,,,,,,Incumbent
Orlando Owens,candidate,State Treasurer,State,Wisconsin,,Republican,No,Candidacy Declared,"August 11, 2026","November 3, 2026",,https://ballotpedia.org/Orlando_Owens,,,,,,
Bryan Steil,candidate,U.S. House,Federal,Wisconsin,1,Republican,Yes,Candidacy Declared,"August 11, 2026","November 3, 2026",,https://ballotpedia.org/Bryan_Steil,,,,,,Incumbent
Connor Walleck,candidate,U.S. House,Federal,Wisconsin,1,Republican,No,Candidacy Declared,"August 11, 2026","November 3, 2026",,https://ballotpedia.org/Connor_Walleck,,,,,,
Adam Follmer,candidate,U.S. House,Federal,Wisconsin,1,Democratic,No,Candidacy Declared,"August 11, 2026","November 3, 2026",,https://ballotpedia.org/Adam_Follmer,,,,,,Speech language pathologist and college professor
Mark Pocan,candidate,U.S. House,Federal,Wisconsin,2,Democratic,Yes,Candidacy Declared,"August 11, 2026","November 3, 2026",,https://ballotpedia.org/Mark_Pocan,,,,,,Incumbent
Erik Olsen,candidate,U.S. House,Federal,Wisconsin,2,Republican,No,Candidacy Declared,"August 11, 2026","November 3, 2026",,https://ballotpedia.org/Erik_Olsen,,,,,,
Derrick Van Orden,candidate,U.S. House,Federal,Wisconsin,3,Republican,Yes,Candidacy Declared,"August 11, 2026","November 3, 2026",,https://ballotpedia.org/Derrick_Van_Orden,,,,,,Incumbent
Emily Berge,candidate,U.S. House,Federal,Wisconsin,3,Democratic,No,Candidacy Declared,"August 11, 2026","November 3, 2026",,https://ballotpedia.org/Emily_Berge,,,,,,President of Eau Claire city council
Rebecca Cooke,candidate,U.S. House,Federal,Wisconsin,3,Democratic,No,Candidacy Declared,"August 11, 2026","November 3, 2026",,https://ballotpedia.org/Rebecca_Cooke,,,,,,2024 nominee for this district
Rodney Rave,candidate,U.S. House,Federal,Wisconsin,3,Democratic,No,Candidacy Declared,"August 11, 2026","November 3, 2026",,https://ballotpedia.org/Rodney_Rave,,,,,,
Rustin Provance,candidate,U.S. House,Federal,Wisconsin,3,Republican,No,Candidacy Declared,"August 11, 2026","November 3, 2026",,https://ballotpedia.org/Rustin_Provance,,,,,,General election candidate
Jayte Welch,candidate,U.S. House,Federal,Wisconsin,3,Independent,No,Candidacy Declared,"August 11, 2026","November 3, 2026",,https://ballotpedia.org/Jayte_Welch,,,,,,General election candidate
Gwen Moore,candidate,U.S. House,Federal,Wisconsin,4,Democratic,Yes,Candidacy Declared,"August 11, 2026","November 3, 2026",,https://ballotpedia.org/Gwen_Moore,,,,,,Incumbent; Milwaukee
Scott Fitzgerald,candidate,U.S. House,Federal,Wisconsin,5,Republican,Yes,Candidacy Declared,"August 11, 2026","November 3, 2026",,https://ballotpedia.org/Scott_Fitzgerald_(Wisconsin),,,,,,Incumbent
Glenn Grothman,candidate,U.S. House,Federal,Wisconsin,6,Republican,Yes,Candidacy Declared,"August 11, 2026","November 3, 2026",,https://ballotpedia.org/Glenn_Grothman,,,,,,Incumbent
Jonathan Peetz,candidate,U.S. House,Federal,Wisconsin,6,Republican,No,Candidacy Declared,"August 11, 2026","November 3, 2026",,https://ballotpedia.org/Jonathan_Peetz,,,,,,
Michael Thurow,candidate,U.S. House,Federal,Wisconsin,6,Democratic,No,Candidacy Declared,"August 11, 2026","November 3, 2026",,https://ballotpedia.org/Michael_Thurow,,,,,,General election candidate
Chris Armstrong,candidate,U.S. House,Federal,Wisconsin,7,Democratic,No,Candidacy Declared,"August 11, 2026","November 3, 2026",,https://ballotpedia.org/Chris_Armstrong_(Wisconsin),,,,,,
Fred Clark,candidate,U.S. House,Federal,Wisconsin,7,Democratic,No,Candidacy Declared,"August 11, 2026","November 3, 2026",,https://ballotpedia.org/Fred_Clark_(Wisconsin),,,,,,
Ginger Murray,candidate,U.S. House,Federal,Wisconsin,7,Democratic,No,Candidacy Declared,"August 11, 2026","November 3, 2026",,https://ballotpedia.org/Ginger_Murray,,,,,,
Michael Alfonso,candidate,U.S. House,Federal,Wisconsin,7,Republican,No,Candidacy Declared,"August 11, 2026","November 3, 2026",,https://ballotpedia.org/Michael_Alfonso,,,,,,
Jessi Ebben,candidate,U.S. House,Federal,Wisconsin,7,Republican,No,Candidacy Declared,"August 11, 2026","November 3, 2026",,https://ballotpedia.org/Jessi_Ebben,,,,,,
Kevin Hermening,candidate,U.S. House,Federal,Wisconsin,7,Republican,No,Candidacy Declared,"August 11, 2026","November 3, 2026",,https://ballotpedia.org/Kevin_Hermening,,,,,,
Niina Threlfall-Baum,candidate,U.S. House,Federal,Wisconsin,7,Republican,No,Candidacy Declared,"August 11, 2026","November 3, 2026",,https://ballotpedia.org/Niina_Threlfall-Baum,,,,,,
Paul Wassgren,candidate,U.S. House,Federal,Wisconsin,7,Republican,No,Candidacy Declared,"August 11, 2026","November 3, 2026",,https://ballotpedia.org/Paul_Wassgren,,,,,,
Tony Wied,candidate,U.S. House,Federal,Wisconsin,8,Republican,Yes,Candidacy Declared,"August 11, 2026","November 3, 2026",,https://ballotpedia.org/Tony_Wied,,,,,,Incumbent; Green Bay/Appleton area
